slot_filler_id,title,subtitle_text,source_tag
2897634,The crown of wild olive,"four lectures on work, traffic, war, and the future of England,",LOC
2897635,The crown of wild olive,"four lectures on work, traffic, war, and the future of England,",LOC
2897636,Prediction,"science, decision making, and the future of nature",LOC
2897637,Prediction,"science, decision making, and the future of nature",LOC
2897638,Counting on the census?,"race, group identity, and the evasion of politics",LOC
2897639,Counting on the census?,"race, group identity, and the evasion of politics",LOC
2897640,The many-headed hydra,"sailors, slaves, commoners, and the hidden history of the revolutionary Atlantic",LOC
2897641,The many-headed hydra,"sailors, slaves, commoners, and the hidden history of the revolutionary Atlantic",LOC
2897642,The many-headed hydra,"sailors, slaves, commoners, and the hidden history of the revolutionary Atlantic",LOC
2897643,View finder,"Mark Klett, photography, and the reinvention of landscape",LOC
2897644,View finder,"Mark Klett, photography, and the reinvention of landscape",LOC
2897645,Sir Walter and Mr. Jones,"Walter Hagen, Bobby Jones, and the rise of American golf",LOC
2897646,Sir Walter and Mr. Jones,"Walter Hagen, Bobby Jones, and the rise of American golf",LOC
2897647,Politics in the trenches,"citizens, politicians, and the fate of democracy",LOC
2897648,Politics in the trenches,"citizens, politicians, and the fate of democracy",LOC
2897649,Politics and banking,"ideas, public policy, and the creation of financial institutions",LOC
2897650,Politics and banking,"ideas, public policy, and the creation of financial institutions",LOC
2897651,Women take care,"gender, race and the culture of AIDS / Katie Hogan",LOC
2897652,Plundered promise,"capitalism, politics, and the fate of the federal lands",LOC
2897653,Plundered promise,"capitalism, politics, and the fate of the federal lands",LOC
2897654,Scare quotes from Shakespeare,"Marx, Keynes, and the language of reenchantment",LOC
2897655,Scare quotes from Shakespeare,"Marx, Keynes, and the language of reenchantment",LOC
2897656,Making security social,"disability, insurance, and the birth of the social entitlement state in Germany",LOC
2897657,Making security social,"disability, insurance, and the birth of the social entitlement state in Germany",LOC
2897658,Stepchildren of nature,"Krafft-Ebing, psychiatry, and the making of sexual identity",LOC
2897659,Stepchildren of nature,"Krafft-Ebing, psychiatry, and the making of sexual identity",LOC
2897660,Enriching the earth,"Fritz Haber, Carl Bosch, and the transformation of world food production",LOC
2897661,Enriching the earth,"Fritz Haber, Carl Bosch, and the transformation of world food production",LOC
2897662,Deterrence and security in the 21st century,"China, Britain, France, and the enduring legacy of the nuclear revolution",LOC
2897663,Deterrence and security in the 21st century,"China, Britain, France, and the enduring legacy of the nuclear revolution",LOC
2897664,Deterrence and security in the 21st century,"China, Britain, France, and the enduring legacy of the nuclear revolution",LOC
2897665,Tabloid culture,"trash taste, popular power, and the transformation of American television",LOC
2897666,Tabloid culture,"trash taste, popular power, and the transformation of American television",LOC
